Make,Model,Cylinder,Trans as listed in FE Guide (derived from col AA thru AF),CityMPG,HighwayMPG,CombinedMPG,Air Aspir Method,Air Aspiration Method Desc,Transmission,Drive,Drive Desc,Fuel,Fuel Usage Desc - Conventional Fuel,Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class,Carline Class Desc,Release Date,CityCO2,HighwayCO2,CombinedCO2
Audi,A3 Cabriolet quattro,4,Auto(AM-S6),23,32,26,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,3,Subcompact Cars,6/2/2014,379,280,334
Audi,A3 quattro,4,Auto(AM-S6),24,33,27,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2100,2100,3,Subcompact Cars,1/15/2014,366,271,323
Audi,A5 Cabriolet quattro,4,Auto(S8),20,28,23,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2500,2500,3,Subcompact Cars,6/9/2014,446,314,386
Audi,A5 quattro,4,Auto(S8),22,31,25,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2300,2300,3,Subcompact Cars,6/9/2014,410,290,356
Audi,A5 quattro,4,Manual(M6),22,32,26,TC,Turbocharged,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,3,Subcompact Cars,6/9/2014,398,277,343
Audi,RS5,8,Auto(AM-S7),16,23,18,NA,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3150,3150,3,Subcompact Cars,6/9/2014,562,379,480
Audi,RS5 Cabriolet,8,Auto(AM-S7),16,22,18,NA,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3150,3150,3,Subcompact Cars,6/9/2014,558,398,486
Audi,S5,6,Auto(AM-S7),18,28,21,SC,Supercharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2700,2700,3,Subcompact Cars,6/9/2014,488,321,413
Audi,S5,6,Manual(M6),17,26,20,SC,Supercharged,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2850,2850,3,Subcompact Cars,6/9/2014,519,341,439
Audi,S5 Cabriolet,6,Auto(AM-S7),18,26,21,SC,Supercharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2700,2700,3,Subcompact Cars,6/9/2014,500,341,428
Audi,TT Coupe quattro,4,Auto(AM-S6),22,31,26,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,3,Subcompact Cars,1/15/2014,395,284,345
Audi,A4,4,Auto(AV-S8),24,32,27,TC,Turbocharged,Selectable Continuously Variable (e.g. CVT with paddles),F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2100,2100,4,Compact Cars,6/9/2014,374,280,332
Audi,A4 quattro,4,Auto(S8),22,31,25,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2300,2300,4,Compact Cars,6/9/2014,410,290,356
Audi,A4 quattro,4,Manual(M6),22,32,26,TC,Turbocharged,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,4,Compact Cars,6/9/2014,398,277,343
